product_name,year,price,location
Xenia R deluxe tipe paling tinggi pemakain 2020,2020,Rp 167.000.000,"Padang Utara, Padang Kota"
CRV 2003 MULUSS,2003,Rp 75.000.000,"Bojonggede, Bogor Kab."
Di Jual Suzuki SWIFT Baturaja di Jual Cepat,2007,Rp 69.000.000,"Baturaja Timur, Ogan Komering Ulu Kab."
2017 Honda CRV 1.5 TURBO AT Prestige STNK 1th Record HONDA #2018 2.0,2017,Rp 355.000.000,"Cempaka Putih, Jakarta Pusat"
honda accor jual murah,1995,Rp 35.000.000,"Kalideres, Jakarta Barat"
Datsun Go+ Panca 1.2 Manual / Mt 2016 #datsun hitam#kilometer 17 rb#,2016,Rp 85.000.000,"Gubeng, Surabaya Kota"
Xpander ultimate facelift matic 2018 km 15rb,2018,Rp 209.000.000,"Bubutan, Surabaya Kota"
Mazda 2 S sport manual 2012 mumer,2012,Rp 84.000.000,"Rawalumbu, Bekasi Kota"
[ALL.New] Honda Brio 1.2 E CVT 2019 FullOrisiniL LikeNew,2019,Rp 150.000.000,"Ilir Barat I, Palembang Kota"
(TERIMA ATAS NAMA) March XS 1.5 AT 2013 Keyless entry bs kredit,2013,Rp 105.000.000,"Boyolali, Boyolali Kab."
Toyota Rush G 2018 AT Seperti baru. Full Ori,2018,Rp 180.000.000,"Jagakarsa, Jakarta Selatan"
Nissan Grd Livina Tangan 1 Mulus Sekali,2014,Rp 99.000.000,"Bekasi Selatan, Bekasi Kota"
Dijual Honda CR-V 2.4 Automatic 2010 Saingan (X-trail dan CX-5),2010,Rp 181.000.000,"Medan Sunggal, Medan Kota"
HONDA CITY I-DSI 2004,2004,Rp 70.000.000,"Samarinda Kota, Samarinda Kota"
Daihatsu hijet 1000,<1986,Rp 7.300.000,"Bandung Kulon, Bandung Kota"
Jual Agya pribadi,2014,Rp 90.000.000,"Medan Denai, Medan Kota"
Katana gx 2005 manual,2005,Rp 70.000.000,"Gresik, Gresik Kab."
Toyota Inova 2.5G disel at th 2008 Silver tdp35jt,2008,Rp 129.000.000,"Cakung, Jakarta Timur"
Kijang Innova tipe E 2013,2013,Rp 120.000.000,"Sawangan, Depok Kota"
Toyota Kijang 2.5 diesel 2002,2002,Rp 59.000.000,"Jatinegara, Jakarta Timur"
